Init_time: B7-52-BC-50-13-F2_2021-11-08T13:33:18-03:00.txt
Duration,1008,DeviceMAC,B7:52:BC:50:13:F2
timeSeconds,tempOral,tempNasal,signalPeriodSec,signalFrequencyBpm,dateTime
9.360,29.8082,29.4456,2.2533,26.6272,9.4
9.400,29.8157,29.4516,2.2533,26.6272,9.4
9.440,29.8233,29.4576,2.2533,26.6272,9.4
9.480,29.8807,29.4819,2.2533,26.6272,9.5
9.520,29.9018,29.4921,2.2533,26.6272,9.5
9.560,29.9090,29.4899,2.2533,26.6272,9.6
9.600,29.9161,29.4877,2.2533,26.6272,9.6
9.640,29.9279,29.4829,2.2533,26.6272,9.6
9.680,29.9398,29.4781,2.2533,26.6272,9.7
9.720,29.9405,29.4708,2.2533,26.6272,9.7
9.760,29.9363,29.4439,2.2533,26.6272,9.8
9.800,29.9220,29.4323,2.2533,26.6272,9.8
9.840,29.9028,29.4143,2.2533,26.6272,9.8
9.880,29.8959,29.4088,2.2533,26.6272,9.9
9.920,29.8891,29.4033,2.2533,26.6272,9.9
9.960,29.8564,29.3882,2.2533,26.6272,10.0
10.000,29.8020,29.3589,2.2533,26.6272,10.0
10.040,29.7668,29.3437,2.2533,26.6272,10.0
10.080,29.7353,29.3296,2.2533,26.6272,10.1
10.120,29.6996,29.3170,2.2533,26.6272,10.1
10.160,29.6892,29.3137,2.2533,26.6272,10.2
10.200,29.6789,29.3103,2.2533,26.6272,10.2
10.240,29.6685,29.3070,2.2533,26.6272,10.2
10.280,29.6347,29.2901,2.2533,26.6272,10.3
10.320,29.5264,29.2431,2.2533,26.6272,10.3
10.360,29.5053,29.2362,2.2533,26.6272,10.4
10.400,29.4794,29.2326,2.2533,26.6272,10.4
10.440,29.4528,29.2235,2.2533,26.6272,10.4
10.480,29.4356,29.2182,2.2533,26.6272,10.5
10.520,29.4156,29.2112,2.2533,26.6272,10.5
10.560,29.4082,29.2125,2.2533,26.6272,10.6
10.600,29.3987,29.2125,2.2533,26.6272,10.6
10.640,29.3964,29.2193,2.2533,26.6272,10.6
10.680,29.3989,29.2171,2.2533,26.6272,10.7
10.720,29.4043,29.2274,2.2533,26.6272,10.7
10.760,29.4071,29.2291,2.2533,26.6272,10.8
10.800,29.4099,29.2308,2.2533,26.6272,10.8
10.840,29.4371,29.2487,2.2533,26.6272,10.8
10.880,29.4496,29.2584,2.2800,26.3158,10.9
10.920,29.4701,29.2690,2.2800,26.3158,10.9
10.960,29.4807,29.2764,2.2800,26.3158,11.0
11.000,29.4913,29.2839,2.2800,26.3158,11.0
11.040,29.5110,29.2972,2.2800,26.3158,11.0
11.080,29.5530,29.3179,2.2800,26.3158,11.1
11.120,29.5791,29.3332,2.2800,26.3158,11.1
11.160,29.6003,29.3438,2.2800,26.3158,11.2
11.200,29.6101,29.3494,2.2800,26.3158,11.2
11.240,29.6200,29.3550,2.2800,26.3158,11.2
11.280,29.6533,29.3749,2.2800,26.3158,11.3
11.320,29.6967,29.3910,2.2800,26.3158,11.3
11.360,29.7272,29.4085,2.2800,26.3158,11.4
11.400,29.7605,29.4234,2.2800,26.3158,11.4
11.440,29.7892,29.4333,2.2800,26.3158,11.4
11.480,29.8138,29.4473,2.2800,26.3158,11.5
11.520,29.8511,29.4600,2.2800,26.3158,11.5
11.560,29.8792,29.4652,2.2800,26.3158,11.6
11.600,29.9148,29.4818,2.2800,26.3158,11.6
11.640,29.9276,29.4856,2.2800,26.3158,11.6
11.680,29.9404,29.4894,2.2800,26.3158,11.7
11.720,29.9775,29.5008,2.2800,26.3158,11.7
11.760,29.9931,29.5032,2.2800,26.3158,11.8
11.800,30.0086,29.5056,2.2800,26.3158,11.8
11.840,30.0242,29.5080,2.2800,26.3158,11.8
11.880,30.0685,29.4742,2.2800,26.3158,11.9
11.920,30.0819,29.4666,2.2800,26.3158,11.9
11.960,30.0776,29.4483,2.2800,26.3158,12.0
12.000,30.0793,29.4356,2.2800,26.3158,12.0
12.040,30.0752,29.4202,2.2800,26.3158,12.0
12.080,30.0676,29.4078,2.2800,26.3158,12.1
12.120,30.0614,29.3925,2.2800,26.3158,12.1
12.160,30.0557,29.3848,2.2800,26.3158,12.2
12.200,30.0500,29.3771,2.2800,26.3158,12.2
12.240,30.0417,29.3611,2.2800,26.3158,12.2
12.280,30.0193,29.3342,2.2800,26.3158,12.3
12.320,30.0088,29.3216,2.2800,26.3158,12.3
12.360,30.0004,29.3108,2.2800,26.3158,12.4
12.400,29.9967,29.3050,2.2800,26.3158,12.4
12.440,29.9930,29.2992,2.2800,26.3158,12.4
12.480,29.9657,29.2710,2.2800,26.3158,12.5
12.520,29.9516,29.2621,2.2800,26.3158,12.5
12.560,29.9344,29.2502,2.2800,26.3158,12.6
12.600,29.9267,29.2451,2.2800,26.3158,12.6
12.640,29.9146,29.2352,2.2800,26.3158,12.6
12.680,29.8963,29.2271,2.2800,26.3158,12.7
12.720,29.8897,29.2231,2.2800,26.3158,12.7
12.760,29.8806,29.2170,2.2800,26.3158,12.8
12.800,29.8761,29.2161,2.2800,26.3158,12.8
12.840,29.8723,29.2118,2.2800,26.3158,12.8
12.880,29.8735,29.2135,2.2800,26.3158,12.9
12.920,29.8773,29.2148,2.2800,26.3158,12.9
12.960,29.8820,29.2165,2.2800,26.3158,13.0
13.000,29.8902,29.2280,2.2800,26.3158,13.0
13.040,29.8967,29.2272,2.2800,26.3158,13.0
13.080,29.9110,29.2341,2.2800,26.3158,13.1
13.120,29.9281,29.2431,2.2800,26.3158,13.1
13.160,29.9368,29.2476,2.2133,27.1084,13.2
13.200,29.9455,29.2521,2.2133,27.1084,13.2
13.240,29.9633,29.2642,2.2133,27.1084,13.2
13.280,29.9995,29.2841,2.2133,27.1084,13.3
13.320,30.0105,29.2907,2.2133,27.1084,13.3
13.360,30.0215,29.2972,2.2133,27.1084,13.4
13.400,30.0321,29.3038,2.2133,27.1084,13.4
13.440,30.0427,29.3104,2.2133,27.1084,13.4
13.480,30.0972,29.3462,2.2133,27.1084,13.5
13.520,30.1089,29.3587,2.2133,27.1084,13.5
13.560,30.1137,29.3631,2.2133,27.1084,13.6
13.600,30.1185,29.3674,2.2133,27.1084,13.6
13.640,30.1233,29.3718,2.2133,27.1084,13.6
13.680,30.1386,29.3848,2.2133,27.1084,13.7
13.720,30.1628,29.4011,2.2133,27.1084,13.7
13.760,30.1743,29.4138,2.2133,27.1084,13.8
13.800,30.1811,29.4220,2.2133,27.1084,13.8
13.840,30.1990,29.4403,2.2133,27.1084,13.8
13.880,30.2022,29.4423,2.2133,27.1084,13.9
13.920,30.2054,29.4444,2.2133,27.1084,13.9
13.960,30.2086,29.4464,2.2133,27.1084,14.0
14.000,30.2130,29.4277,2.2133,27.1084,14.0
14.040,30.2050,29.4169,2.2133,27.1084,14.0
14.080,30.2016,29.4119,2.2133,27.1084,14.1
14.120,30.1981,29.4069,2.2133,27.1084,14.1
14.160,30.1871,29.4009,2.2133,27.1084,14.2
14.200,30.1459,29.3668,2.2133,27.1084,14.2
14.240,30.1262,29.3603,2.2133,27.1084,14.2
14.280,30.1011,29.3495,2.2133,27.1084,14.3
14.320,30.0706,29.3349,2.2133,27.1084,14.3
14.360,30.0384,29.3146,2.2133,27.1084,14.4
14.400,30.0128,29.3082,2.2133,27.1084,14.4
14.440,29.9877,29.2969,2.2133,27.1084,14.4
14.480,29.9568,29.2901,2.2133,27.1084,14.5
14.520,29.9247,29.2780,2.2133,27.1084,14.5
14.560,29.8960,29.2733,2.2133,27.1084,14.6
14.600,29.8787,29.2721,2.2133,27.1084,14.6
14.640,29.8502,29.2636,2.2133,27.1084,14.6
14.680,29.8408,29.2619,2.2133,27.1084,14.7
14.720,29.8315,29.2602,2.2133,27.1084,14.7
14.760,29.8150,29.2555,2.2133,27.1084,14.8
14.800,29.7869,29.2498,2.2133,27.1084,14.8
14.840,29.7821,29.2522,2.2133,27.1084,14.8
14.880,29.7773,29.2546,2.2133,27.1084,14.9
14.920,29.7732,29.2575,2.2133,27.1084,14.9
14.960,29.7696,29.2657,2.2133,27.1084,15.0
15.000,29.7759,29.2754,2.2133,27.1084,15.0
15.040,29.7816,29.2827,2.2133,27.1084,15.0
15.080,29.7936,29.2947,2.2133,27.1084,15.1
15.120,29.8005,29.3018,2.2133,27.1084,15.1
15.160,29.8073,29.3089,2.1733,27.6074,15.2
15.200,29.8165,29.3161,2.1733,27.6074,15.2
15.240,29.8551,29.3417,2.1733,27.6074,15.2
15.280,29.8765,29.3580,2.1733,27.6074,15.3
15.320,29.8951,29.3674,2.1733,27.6074,15.3
15.360,29.9225,29.3871,2.1733,27.6074,15.4
15.400,29.9528,29.4027,2.1733,27.6074,15.4
15.440,29.9818,29.4149,2.1733,27.6074,15.4
15.480,30.0115,29.4318,2.1733,27.6074,15.5
15.520,30.0223,29.4370,2.1733,27.6074,15.5
15.560,30.0330,29.4423,2.1733,27.6074,15.6
15.600,30.0486,29.4495,2.1733,27.6074,15.6
15.640,30.0641,29.4567,2.1733,27.6074,15.6
15.680,30.0934,29.4687,2.1733,27.6074,15.7
15.720,30.1228,29.4807,2.1733,27.6074,15.7
15.760,30.1521,29.4927,2.1733,27.6074,15.8
15.800,30.1667,29.5022,2.1733,27.6074,15.8
15.840,30.1814,29.5117,2.1733,27.6074,15.8
15.880,30.2626,29.5180,2.1733,27.6074,15.9
15.920,30.2756,29.5170,2.1733,27.6074,15.9
15.960,30.2810,29.5107,2.1733,27.6074,16.0
16.000,30.2864,29.5045,2.1733,27.6074,16.0
16.040,30.2810,29.4794,2.1733,27.6074,16.0
16.080,30.2719,29.4694,2.1733,27.6074,16.1
16.120,30.2587,29.4537,2.1733,27.6074,16.1
16.160,30.2413,29.4377,2.1733,27.6074,16.2
16.200,30.2154,29.4278,2.1733,27.6074,16.2
16.240,30.1905,29.4133,2.1733,27.6074,16.2
16.280,30.1635,29.4005,2.1733,27.6074,16.3
16.320,30.1325,29.3876,2.1733,27.6074,16.3
16.360,30.0967,29.3703,2.1733,27.6074,16.4
16.400,30.0626,29.3576,2.1733,27.6074,16.4
16.440,30.0315,29.3508,2.1733,27.6074,16.4
16.480,29.9963,29.3367,2.1733,27.6074,16.5
16.520,29.9681,29.3265,2.1733,27.6074,16.5
16.560,29.9567,29.3226,2.1733,27.6074,16.6
16.600,29.9453,29.3186,2.1733,27.6074,16.6
16.640,29.9339,29.3147,2.1733,27.6074,16.6
16.680,29.9102,29.3088,2.1733,27.6074,16.7
16.720,29.8648,29.2937,2.1733,27.6074,16.7
16.760,29.8542,29.2920,2.1733,27.6074,16.8
16.800,29.8528,29.2940,2.1733,27.6074,16.8
16.840,29.8483,29.2943,2.1733,27.6074,16.8
16.880,29.8520,29.2954,2.1733,27.6074,16.9
16.920,29.8603,29.3041,2.1733,27.6074,16.9
16.960,29.8746,29.3099,2.1733,27.6074,17.0
17.000,29.8816,29.3107,2.1733,27.6074,17.0
17.040,29.8886,29.3115,2.1733,27.6074,17.0
17.080,29.9234,29.3232,2.1733,27.6074,17.1
17.120,29.9434,29.3377,2.0800,28.8462,17.1
17.160,29.9676,29.3496,2.0800,28.8462,17.2
17.200,29.9828,29.3560,2.0800,28.8462,17.2
17.240,29.9979,29.3625,2.0800,28.8462,17.2
17.280,30.0168,29.3701,2.0800,28.8462,17.3
17.320,30.0713,29.3915,2.0800,28.8462,17.3
17.360,30.0981,29.4045,2.0800,28.8462,17.4
17.400,30.1104,29.4079,2.0800,28.8462,17.4
17.440,30.1227,29.4113,2.0800,28.8462,17.4
17.480,30.1800,29.4322,2.0800,28.8462,17.5
17.520,30.1989,29.4418,2.0800,28.8462,17.5
17.560,30.2257,29.4506,2.0800,28.8462,17.6
17.600,30.2469,29.4577,2.0800,28.8462,17.6
17.640,30.2767,29.4738,2.0800,28.8462,17.6
17.680,30.2811,29.4749,2.0800,28.8462,17.7
17.720,30.2855,29.4760,2.0800,28.8462,17.7
17.760,30.2899,29.4771,2.0800,28.8462,17.8
17.800,30.2943,29.4782,2.0800,28.8462,17.8
17.840,30.3196,29.4903,2.0800,28.8462,17.8
17.880,30.3486,29.4870,2.0800,28.8462,17.9
17.920,30.3776,29.4837,2.0800,28.8462,17.9
17.960,30.3833,29.4824,2.0800,28.8462,18.0
18.000,30.3825,29.4589,2.0800,28.8462,18.0
18.040,30.3768,29.4525,2.0800,28.8462,18.0
18.080,30.3706,29.4462,2.0800,28.8462,18.1
18.120,30.3645,29.4398,2.0800,28.8462,18.1
18.160,30.3476,29.4255,2.0800,28.8462,18.2
18.200,30.3007,29.4027,2.0800,28.8462,18.2
18.240,30.2646,29.3843,2.0800,28.8462,18.2
18.280,30.2321,29.3745,2.0800,28.8462,18.3
18.320,30.2244,29.3709,2.0800,28.8462,18.3
18.360,30.2167,29.3673,2.0800,28.8462,18.4
18.400,30.2090,29.3637,2.0800,28.8462,18.4
18.440,30.2013,29.3602,2.0800,28.8462,18.4
18.480,30.1671,29.3543,2.0800,28.8462,18.5
18.520,30.0997,29.3276,2.0800,28.8462,18.5
18.560,30.0323,29.3009,2.0800,28.8462,18.6
18.600,30.0052,29.2990,2.0800,28.8462,18.6
18.640,29.9639,29.2902,2.0800,28.8462,18.6
18.680,29.9560,29.2890,2.0800,28.8462,18.7
18.720,29.9481,29.2879,2.0800,28.8462,18.7
18.760,29.9367,29.2862,2.0800,28.8462,18.8
18.800,29.9254,29.2845,2.0800,28.8462,18.8
18.840,29.9230,29.2889,2.0800,28.8462,18.8
18.880,29.9234,29.2950,2.0800,28.8462,18.9
18.920,29.9292,29.2974,2.0800,28.8462,18.9
18.960,29.9399,29.3076,2.0800,28.8462,19.0
19.000,29.9548,29.3223,2.0800,28.8462,19.0
19.040,29.9714,29.3305,2.0800,28.8462,19.0
19.080,29.9807,29.3313,2.0800,28.8462,19.1
19.120,30.0027,29.3447,1.9867,30.2013,19.1
19.160,30.0132,29.3485,1.9867,30.2013,19.2
19.200,30.0238,29.3522,1.9867,30.2013,19.2
19.240,30.0491,29.3668,1.9867,30.2013,19.2
19.280,30.1003,29.3840,1.9867,30.2013,19.3
19.320,30.1089,29.3891,1.9867,30.2013,19.3
